Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
gap_score2;smith_waterman.c;12;2.013578414916992;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;1.7339529991149902;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;0.8977887630462646;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;1.4071044921875;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.7556791305541992;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;0.7121319770812988;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;2.1056365966796875;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;1.139756441116333;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;1.6134512424468994;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;4.381519556045532;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;4.8795459270477295;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;3.457331895828247;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;4.0088584423065186;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;3.1096205711364746;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;2.791411876678467;0-6;Double bit-flip;1
i2;smith_waterman.c;168;2.5926244258880615;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.701477289199829;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;0.9904563426971436;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;3.2210819721221924;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;2.1601457595825195;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;2.24904727935791;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;3.75221848487854;0-6;Double bit-flip;1
